date,monthly_change,flat_price
1995-02-01,-0.054000000000000006,73069.0
1995-03-01,0.019,74428.0
1995-04-01,0.005,74813.0
1995-05-01,0.046,78222.0
1995-06-01,0.015,79380.0
1995-07-01,0.004,79674.0
1995-08-01,0.001,79783.0
1995-09-01,-0.009000000000000001,79062.0
1995-10-01,-0.006,78580.0
1995-11-01,-0.005,78167.0
1995-12-01,0.006999999999999999,78684.0
1996-01-01,0.01,79432.0
1996-02-01,0.015,80627.0
1996-03-01,0.001,80709.0
1996-04-01,0.012,81689.0
1996-05-01,0.002,81873.0
1996-06-01,0.02,83529.0
1996-07-01,0.01,84363.0
1996-08-01,0.006,84906.0
1996-09-01,0.0,84906.0
1996-10-01,-0.002,84735.0
1996-11-01,0.008,85405.0
1996-12-01,0.006999999999999999,86018.0
1997-01-01,0.021,87859.0
1997-02-01,0.024,89947.0
1997-03-01,0.02,91750.0
1997-04-01,0.018000000000000002,93397.0
1997-05-01,0.02,95298.0
1997-06-01,0.018000000000000002,97031.0
1997-07-01,0.016,98607.0
1997-08-01,0.005,99076.0
1997-09-01,0.017,100716.0
1997-10-01,0.004,101070.0
1997-11-01,0.013000000000000001,102404.0
1997-12-01,0.006,102982.0
1998-01-01,0.017,104698.0
1998-02-01,0.006999999999999999,105401.0
1998-03-01,0.016,107084.0
1998-04-01,0.02,109198.0
1998-05-01,0.013999999999999999,110768.0
1998-06-01,0.011000000000000001,111977.0
1998-07-01,0.006,112661.0
1998-08-01,0.006999999999999999,113409.0
1998-09-01,0.002,113648.0
1998-10-01,-0.005,113129.0
1998-11-01,0.003,113472.0
1998-12-01,0.002,113690.0
1999-01-01,0.012,115059.0
1999-02-01,0.01,116195.0
1999-03-01,0.013000000000000001,117712.0
1999-04-01,0.012,119116.0
1999-05-01,0.022000000000000002,121749.0
1999-06-01,0.018000000000000002,123890.0
1999-07-01,0.027000000000000003,127264.0
1999-08-01,0.026000000000000002,130624.0
1999-09-01,0.039,135782.0
1999-10-01,0.017,138084.0
1999-11-01,0.015,140154.0
1999-12-01,0.011000000000000001,141678.0
2000-01-01,0.016,143994.0
2000-02-01,0.024,147401.0
2000-03-01,0.012,149224.0
2000-04-01,0.037000000000000005,154819.0
2000-05-01,0.015,157154.0
2000-06-01,0.027000000000000003,161414.0
2000-07-01,0.01,163005.0
2000-08-01,0.021,166362.0
2000-09-01,0.008,167724.0
2000-10-01,-0.006999999999999999,166619.0
2000-11-01,0.008,167974.0
2000-12-01,0.003,168520.0
2001-01-01,0.019,171734.0
2001-02-01,-0.004,170991.0
2001-03-01,0.011000000000000001,172849.0
2001-04-01,0.008,174228.0
2001-05-01,0.027000000000000003,178969.0
2001-06-01,0.021,182693.0
2001-07-01,0.016,185607.0
2001-08-01,0.011000000000000001,187712.0
2001-09-01,0.004,188372.0
2001-10-01,0.006,189510.0
2001-11-01,0.0,189458.0
2001-12-01,0.009000000000000001,191122.0
2002-01-01,0.006999999999999999,192551.0
2002-02-01,0.008,194023.0
2002-03-01,0.008,195497.0
2002-04-01,0.023,199969.0
2002-05-01,0.027000000000000003,205326.0
2002-06-01,0.031,211748.0
2002-07-01,0.019,215738.0
2002-08-01,0.017,219398.0
2002-09-01,0.009000000000000001,221419.0
2002-10-01,0.006999999999999999,222883.0
2002-11-01,0.01,225158.0
2002-12-01,0.005,226265.0
2003-01-01,0.009000000000000001,228253.0
2003-02-01,-0.004,227324.0
2003-03-01,-0.002,226916.0
2003-04-01,0.002,227386.0
2003-05-01,0.006999999999999999,228881.0
2003-06-01,0.002,229332.0
2003-07-01,0.006,230611.0
2003-08-01,0.002,230976.0
2003-09-01,0.005,232232.0
2003-10-01,-0.005,231128.0
2003-11-01,0.004,232160.0
2003-12-01,0.011000000000000001,234686.0
2004-01-01,0.01,237024.0
2004-02-01,0.004,237940.0
2004-03-01,0.006,239332.0
2004-04-01,0.009000000000000001,241474.0
2004-05-01,0.013000000000000001,244564.0
2004-06-01,0.013000000000000001,247625.0
2004-07-01,0.015,251390.0
2004-08-01,0.011000000000000001,254227.0
2004-09-01,0.005,255497.0
2004-10-01,-0.009000000000000001,253147.0
2004-11-01,0.0,253085.0
2004-12-01,-0.009000000000000001,250740.0
2005-01-01,0.003,251403.0
2005-02-01,-0.003,250638.0
2005-03-01,0.005,251917.0
2005-04-01,0.01,254454.0
2005-05-01,0.004,255356.0
2005-06-01,0.005,256653.0
2005-07-01,0.002,257275.0
2005-08-01,0.009000000000000001,259539.0
2005-09-01,0.001,259689.0
2005-10-01,-0.009000000000000001,257343.0
2005-11-01,-0.006,255777.0
2005-12-01,0.011000000000000001,258489.0
2006-01-01,0.012,261557.0
2006-02-01,0.004,262692.0
2006-03-01,0.005,263877.0
2006-04-01,0.012,267149.0
2006-05-01,0.018000000000000002,272083.0
2006-06-01,0.017,276815.0
2006-07-01,0.012,280103.0
2006-08-01,0.013000000000000001,283620.0
2006-09-01,0.006999999999999999,285582.0
2006-10-01,0.01,288385.0
2006-11-01,0.001,288583.0
2006-12-01,0.011000000000000001,291751.0
2007-01-01,0.013999999999999999,295976.0
2007-02-01,0.022000000000000002,302509.0
2007-03-01,0.017,307630.0
2007-04-01,0.016,312430.0
2007-05-01,0.019,318272.0
2007-06-01,0.019,324346.0
2007-07-01,0.024,332078.0
2007-08-01,0.023,339616.0
2007-09-01,0.018000000000000002,345608.0
2007-10-01,0.005,347192.0
2007-11-01,-0.006,344975.0
2007-12-01,-0.005,343205.0
2008-01-01,-0.005,341634.0
2008-02-01,0.001,342014.0
2008-03-01,-0.006,340059.0
2008-04-01,-0.003,339167.0
2008-05-01,-0.001,338932.0
2008-06-01,-0.005,337166.0
2008-07-01,0.003,338189.0
2008-08-01,-0.016,332892.0
2008-09-01,-0.008,330103.0
2008-10-01,-0.03,320190.0
2008-11-01,-0.026000000000000002,311752.0
2008-12-01,-0.035,300801.0
2009-01-01,-0.02,294712.0
2009-02-01,-0.01,291737.0
2009-03-01,0.0,291765.0
2009-04-01,-0.011000000000000001,288678.0
2009-05-01,0.004,289787.0
2009-06-01,0.006999999999999999,291896.0
2009-07-01,0.022000000000000002,298194.0
2009-08-01,0.009000000000000001,300987.0
2009-09-01,0.022000000000000002,307729.0
2009-10-01,0.012,311482.0
2009-11-01,0.008,314121.0
2009-12-01,-0.006,312147.0
2010-01-01,0.017,317491.0
2010-02-01,0.019,323388.0
2010-03-01,0.017,328914.0
2010-04-01,0.003,329868.0
2010-05-01,0.001,330337.0
2010-06-01,0.008,332875.0
2010-07-01,0.01,336260.0
2010-08-01,0.01,339686.0
2010-09-01,0.001,339998.0
2010-10-01,-0.009000000000000001,336908.0
2010-11-01,-0.013000000000000001,332651.0
2010-12-01,-0.002,332000.0
2011-01-01,0.003,333000.0
2011-02-01,0.009000000000000001,335946.0
2011-03-01,0.01,339331.0
2011-04-01,0.022000000000000002,346782.0
2011-05-01,-0.003,345581.0
2011-06-01,-0.002,344930.0
2011-07-01,-0.002,344138.0
2011-08-01,0.019,350614.0
2011-09-01,0.008,353460.0
2011-10-01,-0.01,349850.0
2011-11-01,-0.003,348639.0
2011-12-01,-0.004,347329.0
2012-01-01,0.006999999999999999,349793.0
2012-02-01,-0.005,348128.0
2012-03-01,0.0,348071.0
2012-04-01,0.008,350835.0
2012-05-01,0.021,358246.0
2012-06-01,0.022000000000000002,366083.0
2012-07-01,0.008,369175.0
2012-08-01,0.008,372021.0
2012-09-01,0.002,372666.0
2012-10-01,0.004,374134.0
2012-11-01,-0.001,373909.0
2012-12-01,0.011000000000000001,377926.0
2013-01-01,0.002,378568.0
2013-02-01,0.013000000000000001,383492.0
2013-03-01,-0.006,381310.0
2013-04-01,0.018000000000000002,388350.0
2013-05-01,0.006999999999999999,391003.0
2013-06-01,0.018000000000000002,398160.0
2013-07-01,0.012,402848.0
2013-08-01,0.013999999999999999,408539.0
2013-09-01,0.024,418355.0
2013-10-01,0.009000000000000001,422208.0
2013-11-01,0.013000000000000001,427722.0
2013-12-01,0.015,434072.0
2014-01-01,0.016,441232.0
2014-02-01,0.017,448722.0
2014-03-01,0.006,451371.0
2014-04-01,0.017,458855.0
2014-05-01,0.024,469951.0
2014-06-01,0.022000000000000002,480345.0
2014-07-01,0.019,489707.0
2014-08-01,0.013999999999999999,496484.0
2014-09-01,0.013000000000000001,502722.0
2014-10-01,0.002,503589.0
2014-11-01,-0.008,499568.0
2014-12-01,-0.004,497791.0
2015-01-01,0.001,498411.0
2015-02-01,0.005,500882.0
2015-03-01,-0.001,500332.0
2015-04-01,0.004,502172.0
2015-05-01,0.012,508353.0
2015-06-01,0.011000000000000001,513753.0
2015-07-01,0.016,522051.0
2015-08-01,0.008,526380.0
2015-09-01,0.016,534961.0
2015-10-01,-0.003,533239.0
2015-11-01,0.005,536025.0
2015-12-01,-0.001,535705.0
2016-01-01,0.017,544999.0
2016-02-01,0.003,546474.0
2016-03-01,0.015,554582.0
2016-04-01,-0.006999999999999999,550882.0
2016-05-01,0.003,552429.0
2016-06-01,-0.009000000000000001,547346.0
2016-07-01,0.008,551763.0
2016-08-01,0.0,551558.0
2016-09-01,0.006999999999999999,555478.0
2016-10-01,0.0,555541.0
2016-11-01,0.009000000000000001,560423.0
2016-12-01,0.0,560648.0
2017-01-01,0.004,562892.0
2017-02-01,0.006,566184.0
2017-03-01,-0.001,565852.0
2017-04-01,0.006,569130.0
2017-05-01,-0.001,568752.0
2017-06-01,0.005,571676.0
2017-07-01,0.004,573994.0
2017-08-01,0.002,575333.0
2017-09-01,0.0,575478.0
2017-10-01,-0.008,570683.0
2017-11-01,-0.01,565085.0
2017-12-01,-0.005,562085.0
2018-01-01,0.001,562876.0
2018-02-01,0.003,564340.0
2018-03-01,-0.005,561776.0
2018-04-01,-0.003,560364.0
2018-05-01,-0.002,558975.0
2018-06-01,0.002,560110.0
2018-07-01,-0.001,559601.0
2018-08-01,-0.001,558847.0
2018-09-01,-0.004,556619.0
2018-10-01,-0.003,555073.0
2018-11-01,-0.002,553883.0
2018-12-01,-0.001,553323.0
2019-01-01,-0.01,547881.0
2019-02-01,-0.011000000000000001,542037.0
2019-03-01,-0.002,540813.0
2019-04-01,0.005,543717.0
2019-05-01,0.003,545209.0
2019-06-01,0.0,544973.0
2019-07-01,0.006999999999999999,548728.0
2019-08-01,0.002,549746.0
2019-09-01,0.008,554000.0
2019-10-01,-0.009000000000000001,549026.0
2019-11-01,0.0,549028.0
2019-12-01,0.004,551388.0
2020-01-01,0.01,556896.0
2020-02-01,0.006,560089.0
2020-03-01,0.001,560804.0
2020-04-01,-0.005,557720.0
2020-05-01,-0.002,556718.0
2020-06-01,-0.005,554119.0
2020-07-01,0.006,557557.0
2020-08-01,0.011000000000000001,563903.0
2020-09-01,0.008,568423.0
2020-10-01,-0.006,565153.0
2020-11-01,-0.003,563409.0
2020-12-01,-0.006999999999999999,559650.0
2021-01-01,0.005,562195.0
2021-02-01,-0.003,560288.0
2021-03-01,0.008,564883.0
2021-04-01,-0.008,560470.0
2021-05-01,-0.005,557469.0
2021-06-01,-0.008,552884.0
2021-07-01,0.021,564226.0
2021-08-01,0.023,577444.0
2021-09-01,0.003,579141.0
2021-10-01,-0.011000000000000001,572990.0
2021-11-01,-0.003,571450.0
2021-12-01,0.006,574762.0
2022-01-01,0.01,580261.0
2022-02-01,-0.003,578702.0
2022-03-01,0.0,578750.0
2022-04-01,-0.001,578328.0
2022-05-01,-0.006999999999999999,574405.0
2022-06-01,0.006999999999999999,578478.0
2022-07-01,0.008,583251.0
2022-08-01,0.017,592992.0
2022-09-01,0.002,594135.0
2022-10-01,-0.006999999999999999,590167.0
2022-11-01,-0.006999999999999999,585917.0
2022-12-01,-0.008,581282.0
2023-01-01,0.0,581184.0
2023-02-01,-0.006,577785.0
2023-03-01,-0.001,577352.0
2023-04-01,-0.005,574346.0
2023-05-01,0.002,575487.0
2023-06-01,-0.002,574573.0
2023-07-01,-0.005,571514.0
2023-08-01,-0.008,567099.0
2023-09-01,0.006999999999999999,571095.0
2023-10-01,0.006,574738.0
2023-11-01,-0.002,573335.0
2023-12-01,-0.012,566187.0
2024-01-01,-0.005,563339.0
2024-02-01,-0.001,562694.0
2024-03-01,-0.002,561844.0
2024-04-01,-0.005,558784.0
2024-05-01,0.0,559017.0
2024-06-01,0.003,560498.0
2024-07-01,0.0,560524.0
2024-08-01,0.009000000000000001,565784.0
2024-09-01,0.003,567320.0
2024-10-01,-0.008,562778.0
2024-11-01,-0.024,549098.0
2024-12-01,-0.021,537690.0
