date,monthly_change,flat_price
1995-02-01,-0.002,57676.0
1995-03-01,-0.004,57426.0
1995-04-01,-0.001,57365.0
1995-05-01,0.003,57548.0
1995-06-01,0.011000000000000001,58159.0
1995-07-01,0.003,58346.0
1995-08-01,-0.004,58141.0
1995-09-01,-0.008,57680.0
1995-10-01,-0.004,57471.0
1995-11-01,0.001,57539.0
1995-12-01,0.003,57710.0
1996-01-01,0.0,57702.0
1996-02-01,0.002,57818.0
1996-03-01,-0.001,57784.0
1996-04-01,0.011000000000000001,58403.0
1996-05-01,0.005,58668.0
1996-06-01,0.013000000000000001,59409.0
1996-07-01,0.002,59501.0
1996-08-01,0.006,59841.0
1996-09-01,0.005,60137.0
1996-10-01,0.004,60370.0
1996-11-01,0.006999999999999999,60776.0
1996-12-01,0.006,61134.0
1997-01-01,0.01,61742.0
1997-02-01,0.011000000000000001,62397.0
1997-03-01,0.01,63043.0
1997-04-01,0.01,63678.0
1997-05-01,0.013999999999999999,64540.0
1997-06-01,0.011000000000000001,65226.0
1997-07-01,0.021,66580.0
1997-08-01,0.016,67625.0
1997-09-01,0.02,68954.0
1997-10-01,0.011000000000000001,69707.0
1997-11-01,0.01,70381.0
1997-12-01,0.013000000000000001,71331.0
1998-01-01,0.01,72011.0
1998-02-01,0.011000000000000001,72818.0
1998-03-01,0.002,72949.0
1998-04-01,0.006999999999999999,73486.0
1998-05-01,0.008,74069.0
1998-06-01,0.017,75313.0
1998-07-01,0.01,76100.0
1998-08-01,0.011000000000000001,76936.0
1998-09-01,0.003,77142.0
1998-10-01,0.009000000000000001,77801.0
1998-11-01,0.004,78107.0
1998-12-01,0.004,78437.0
1999-01-01,0.0,78450.0
1999-02-01,-0.001,78372.0
1999-03-01,0.008,79013.0
1999-04-01,0.01,79838.0
1999-05-01,0.017,81208.0
1999-06-01,0.015,82415.0
1999-07-01,0.017,83836.0
1999-08-01,0.018000000000000002,85375.0
1999-09-01,0.021,87192.0
1999-10-01,0.023,89194.0
1999-11-01,0.023,91246.0
1999-12-01,0.021,93158.0
2000-01-01,0.017,94760.0
2000-02-01,0.013999999999999999,96134.0
2000-03-01,0.012,97297.0
2000-04-01,0.024,99657.0
2000-05-01,0.025,102155.0
2000-06-01,0.024,104595.0
2000-07-01,0.01,105666.0
2000-08-01,0.013000000000000001,107076.0
2000-09-01,0.01,108152.0
2000-10-01,0.005,108717.0
2000-11-01,-0.002,108500.0
2000-12-01,0.003,108779.0
2001-01-01,0.004,109228.0
2001-02-01,0.006999999999999999,110009.0
2001-03-01,0.002,110244.0
2001-04-01,0.008,111090.0
2001-05-01,0.013000000000000001,112515.0
2001-06-01,0.02,114811.0
2001-07-01,0.019,116945.0
2001-08-01,0.02,119245.0
2001-09-01,0.016,121165.0
2001-10-01,0.013999999999999999,122867.0
2001-11-01,0.011000000000000001,124259.0
2001-12-01,0.011000000000000001,125682.0
2002-01-01,0.011000000000000001,127088.0
2002-02-01,0.006999999999999999,127971.0
2002-03-01,0.008,128978.0
2002-04-01,0.018000000000000002,131351.0
2002-05-01,0.024,134503.0
2002-06-01,0.027000000000000003,138100.0
2002-07-01,0.022000000000000002,141159.0
2002-08-01,0.024,144574.0
2002-09-01,0.02,147455.0
2002-10-01,0.017,150009.0
2002-11-01,0.015,152320.0
2002-12-01,0.016,154823.0
2003-01-01,0.017,157445.0
2003-02-01,0.013000000000000001,159540.0
2003-03-01,0.006,160426.0
2003-04-01,0.003,160916.0
2003-05-01,0.003,161459.0
2003-06-01,0.01,163125.0
2003-07-01,0.008,164423.0
2003-08-01,0.004,165082.0
2003-09-01,0.0,165134.0
2003-10-01,0.006,166073.0
2003-11-01,0.004,166805.0
2003-12-01,0.009000000000000001,168279.0
2004-01-01,0.004,168997.0
2004-02-01,0.006999999999999999,170230.0
2004-03-01,0.005,171053.0
2004-04-01,0.011000000000000001,172928.0
2004-05-01,0.013999999999999999,175310.0
2004-06-01,0.016,178095.0
2004-07-01,0.008,179477.0
2004-08-01,0.008,180848.0
2004-09-01,0.001,180978.0
2004-10-01,0.005,181864.0
2004-11-01,0.002,182215.0
2004-12-01,0.0,182240.0
2005-01-01,-0.001,181980.0
2005-02-01,-0.009000000000000001,180418.0
2005-03-01,-0.003,179852.0
2005-04-01,-0.002,179526.0
2005-05-01,0.009000000000000001,181224.0
2005-06-01,0.006,182385.0
2005-07-01,0.003,182924.0
2005-08-01,-0.003,182404.0
2005-09-01,0.0,182327.0
2005-10-01,-0.001,182147.0
2005-11-01,0.0,182226.0
2005-12-01,0.003,182731.0
2006-01-01,0.003,183369.0
2006-02-01,0.005,184350.0
2006-03-01,-0.002,183977.0
2006-04-01,0.005,184950.0
2006-05-01,0.006,186036.0
2006-06-01,0.012,188247.0
2006-07-01,0.006999999999999999,189613.0
2006-08-01,0.008,191149.0
2006-09-01,0.008,192586.0
2006-10-01,0.008,194061.0
2006-11-01,0.004,194793.0
2006-12-01,0.009000000000000001,196526.0
2007-01-01,0.008,198010.0
2007-02-01,0.015,201036.0
2007-03-01,0.005,202091.0
2007-04-01,0.012,204477.0
2007-05-01,0.011000000000000001,206664.0
2007-06-01,0.013999999999999999,209530.0
2007-07-01,0.017,213174.0
2007-08-01,0.01,215272.0
2007-09-01,0.011000000000000001,217705.0
2007-10-01,0.005,218743.0
2007-11-01,0.006,219947.0
2007-12-01,0.005,221054.0
2008-01-01,0.002,221527.0
2008-02-01,-0.004,220587.0
2008-03-01,-0.01,218461.0
2008-04-01,-0.009000000000000001,216570.0
2008-05-01,-0.002,216155.0
2008-06-01,-0.003,215470.0
2008-07-01,-0.01,213363.0
2008-08-01,-0.016,210041.0
2008-09-01,-0.019,206072.0
2008-10-01,-0.021,201643.0
2008-11-01,-0.03,195676.0
2008-12-01,-0.025,190787.0
2009-01-01,-0.018000000000000002,187385.0
2009-02-01,-0.008,185957.0
2009-03-01,-0.01,184153.0
2009-04-01,-0.011000000000000001,182175.0
2009-05-01,-0.005,181327.0
2009-06-01,0.003,181837.0
2009-07-01,0.009000000000000001,183501.0
2009-08-01,0.012,185771.0
2009-09-01,0.012,188016.0
2009-10-01,0.009000000000000001,189663.0
2009-11-01,0.002,189960.0
2009-12-01,0.006999999999999999,191254.0
2010-01-01,0.005,192235.0
2010-02-01,0.006,193299.0
2010-03-01,0.009000000000000001,194969.0
2010-04-01,0.005,195872.0
2010-05-01,0.008,197424.0
2010-06-01,-0.002,197058.0
2010-07-01,0.009000000000000001,198913.0
2010-08-01,0.006,200155.0
2010-09-01,0.008,201727.0
2010-10-01,-0.005,200780.0
2010-11-01,-0.005,199830.0
2010-12-01,-0.006,198594.0
