date,region,flat_price
1995-01-01,Inner London,77215.0
1995-01-01,Outer London,57785.0
1995-01-01,London,67007.0
1995-01-01,South East,41922.0
1995-02-01,Inner London,73069.0
1995-02-01,Outer London,57676.0
1995-02-01,South East,41846.0
1995-02-01,London,62589.0
1995-03-01,Inner London,74428.0
1995-03-01,Outer London,57426.0
1995-03-01,London,66558.0
1995-03-01,South East,42068.0
1995-04-01,Outer London,57365.0
1995-04-01,Inner London,74813.0
1995-04-01,London,67505.0
1995-04-01,South East,42837.0
1995-05-01,Outer London,57548.0
1995-05-01,Inner London,78222.0
1995-05-01,South East,42428.0
1995-05-01,London,68147.0
1995-06-01,Outer London,58159.0
1995-06-01,Inner London,79380.0
1995-06-01,South East,43462.0
1995-06-01,London,69201.0
1995-07-01,Outer London,58346.0
1995-07-01,Inner London,79674.0
1995-07-01,South East,42544.0
1995-07-01,London,68221.0
1995-08-01,Inner London,79783.0
1995-08-01,Outer London,58141.0
1995-08-01,South East,42005.0
1995-08-01,London,68012.0
1995-09-01,Outer London,57680.0
1995-09-01,Inner London,79062.0
1995-09-01,London,67438.0
1995-09-01,South East,41948.0
1995-10-01,Outer London,57471.0
1995-10-01,Inner London,78580.0
1995-10-01,London,67187.0
1995-10-01,South East,42040.0
1995-11-01,Outer London,57539.0
1995-11-01,Inner London,78167.0
1995-11-01,London,67486.0
1995-11-01,South East,42281.0
1995-12-01,Inner London,78684.0
1995-12-01,Outer London,57710.0
1995-12-01,London,68469.0
1995-12-01,South East,42149.0
1996-01-01,Outer London,57702.0
1996-01-01,Inner London,79432.0
1996-01-01,South East,41197.0
1996-01-01,London,68304.0
1996-02-01,Inner London,80627.0
1996-02-01,Outer London,57818.0
1996-02-01,London,69468.0
1996-02-01,South East,41364.0
1996-03-01,Inner London,80709.0
1996-03-01,Outer London,57784.0
1996-03-01,South East,41096.0
1996-03-01,London,68540.0
1996-04-01,Inner London,81689.0
1996-04-01,Outer London,58403.0
1996-04-01,South East,42423.0
1996-04-01,London,70691.0
1996-05-01,Inner London,81873.0
1996-05-01,Outer London,58668.0
1996-05-01,South East,42459.0
1996-05-01,London,70130.0
1996-06-01,Inner London,83529.0
1996-06-01,Outer London,59409.0
1996-06-01,London,72135.0
1996-06-01,South East,43535.0
1996-07-01,Inner London,84363.0
1996-07-01,Outer London,59501.0
1996-07-01,South East,43107.0
1996-07-01,London,72092.0
1996-08-01,Inner London,84906.0
1996-08-01,Outer London,59841.0
1996-08-01,London,71448.0
1996-08-01,South East,43180.0
1996-09-01,Inner London,84906.0
1996-09-01,Outer London,60137.0
1996-09-01,South East,43233.0
1996-09-01,London,72561.0
1996-10-01,Outer London,60370.0
1996-10-01,Inner London,84735.0
1996-10-01,South East,42962.0
1996-10-01,London,72170.0
1996-11-01,Inner London,85405.0
1996-11-01,Outer London,60776.0
1996-11-01,South East,43935.0
1996-11-01,London,73054.0
1996-12-01,Inner London,86018.0
1996-12-01,Outer London,61134.0
1996-12-01,London,74012.0
1996-12-01,South East,44177.0
1997-01-01,Inner London,87859.0
1997-01-01,Outer London,61742.0
1997-01-01,London,75844.0
1997-01-01,South East,43629.0
1997-02-01,Outer London,62397.0
1997-02-01,Inner London,89947.0
1997-02-01,London,77160.0
1997-02-01,South East,44639.0
1997-03-01,Outer London,63043.0
1997-03-01,Inner London,91750.0
1997-03-01,South East,45540.0
1997-03-01,London,77696.0
1997-04-01,Outer London,63678.0
1997-04-01,Inner London,93397.0
1997-04-01,London,79216.0
1997-04-01,South East,45887.0
1997-05-01,Outer London,64540.0
1997-05-01,Inner London,95298.0
1997-05-01,South East,46551.0
1997-05-01,London,81252.0
1997-06-01,Outer London,65226.0
1997-06-01,Inner London,97031.0
1997-06-01,South East,47020.0
1997-06-01,London,81274.0
1997-07-01,Inner London,98607.0
1997-07-01,Outer London,66580.0
1997-07-01,London,83599.0
1997-07-01,South East,47542.0
1997-08-01,Outer London,67625.0
1997-08-01,Inner London,99076.0
1997-08-01,London,83547.0
1997-08-01,South East,48826.0
1997-09-01,Outer London,68954.0
1997-09-01,Inner London,100716.0
1997-09-01,London,85711.0
1997-09-01,South East,48863.0
1997-10-01,Inner London,101070.0
1997-10-01,Outer London,69707.0
1997-10-01,South East,49772.0
1997-10-01,London,85274.0
1997-11-01,Outer London,70381.0
1997-11-01,Inner London,102404.0
1997-11-01,South East,50340.0
1997-11-01,London,86530.0
1997-12-01,Outer London,71331.0
1997-12-01,Inner London,102982.0
1997-12-01,South East,50235.0
1997-12-01,London,88010.0
1998-01-01,Outer London,72011.0
1998-01-01,Inner London,104698.0
