"Title","CPI HISTORICAL MODELLED ANNUAL RATE 00: ALL ITEMS"
"CDID","JFDZ"
"Source dataset ID","MM23"
"PreUnit",""
"Unit",""
"Release date","16-07-2025"
"Next release","20 August 2025"
"Important notes",
"1950 JAN","4.1"
"1950 FEB","4.1"
"1950 MAR","4.7"
"1950 APR","5.5"
"1950 MAY","3.7"
"1950 JUN","2.5"
"1950 JUL","2.3"
"1950 AUG","1.9"
"1950 SEP","2.2"
"1950 OCT","2.5"
"1950 NOV","2.9"
"1950 DEC","3.2"
"1951 JAN","3.7"
"1951 FEB","4.3"
"1951 MAR","4.6"
"1951 APR","5.8"
"1951 MAY","7.8"
"1951 JUN","8.7"
"1951 JUL","10.3"
"1951 AUG","11.0"
"1951 SEP","11.1"
"1951 OCT","10.8"
"1951 NOV","10.8"
"1951 DEC","10.9"
"1952 JAN","12.1"
"1952 FEB","11.2"
"1952 MAR","11.2"
"1952 APR","11.3"
"1952 MAY","8.9"
"1952 JUN","10.6"
"1952 JUL","8.9"
"1952 AUG","7.9"
"1952 SEP","6.9"
"1952 OCT","7.1"
"1952 NOV","6.6"
"1952 DEC","6.6"
"1953 JAN","4.6"
"1953 FEB","4.7"
"1953 MAR","5.0"
"1953 APR","4.4"
"1953 MAY","4.0"
"1953 JUN","2.7"
"1953 JUL","2.9"
"1953 AUG","2.8"
"1953 SEP","2.9"
"1953 OCT","2.0"
"1953 NOV","2.4"
"1953 DEC","1.3"
"1954 JAN","1.6"
"1954 FEB","1.2"
"1954 MAR","1.3"
"1954 APR","0.8"
"1954 MAY","0.8"
"1954 JUN","0.9"
"1954 JUL","2.6"
"1954 AUG","2.6"
"1954 SEP","2.5"
"1954 OCT","3.0"
"1954 NOV","3.1"
"1954 DEC","4.1"
"1955 JAN","4.3"
"1955 FEB","4.4"
"1955 MAR","3.5"
"1955 APR","3.6"
"1955 MAY","3.7"
"1955 JUN","5.1"
"1955 JUL","3.7"
"1955 AUG","3.8"
"1955 SEP","4.7"
"1955 OCT","5.3"
"1955 NOV","6.3"
"1955 DEC","5.7"
"1956 JAN","5.1"
"1956 FEB","5.0"
"1956 MAR","6.5"
"1956 APR","7.5"
"1956 MAY","7.4"
"1956 JUN","5.2"
"1956 JUL","4.3"
"1956 AUG","5.2"
"1956 SEP","4.3"
"1956 OCT","3.9"
"1956 NOV","2.8"
"1956 DEC","3.0"
"1957 JAN","4.2"
