date,annual_rate,source
1950-01-01,4.1,historical
1950-02-01,4.1,historical
1950-03-01,4.7,historical
1950-04-01,5.5,historical
1950-05-01,3.7,historical
1950-06-01,2.5,historical
1950-07-01,2.3,historical
1950-08-01,1.9,historical
1950-09-01,2.2,historical
1950-10-01,2.5,historical
1950-11-01,2.9,historical
1950-12-01,3.2,historical
1951-01-01,3.7,historical
1951-02-01,4.3,historical
1951-03-01,4.6,historical
1951-04-01,5.8,historical
1951-05-01,7.8,historical
1951-06-01,8.7,historical
1951-07-01,10.3,historical
1951-08-01,11.0,historical
1951-09-01,11.1,historical
1951-10-01,10.8,historical
1951-11-01,10.8,historical
1951-12-01,10.9,historical
1952-01-01,12.1,historical
1952-02-01,11.2,historical
1952-03-01,11.2,historical
1952-04-01,11.3,historical
1952-05-01,8.9,historical
1952-06-01,10.6,historical
1952-07-01,8.9,historical
1952-08-01,7.9,historical
1952-09-01,6.9,historical
1952-10-01,7.1,historical
1952-11-01,6.6,historical
1952-12-01,6.6,historical
1953-01-01,4.6,historical
1953-02-01,4.7,historical
1953-03-01,5.0,historical
1953-04-01,4.4,historical
1953-05-01,4.0,historical
1953-06-01,2.7,historical
1953-07-01,2.9,historical
1953-08-01,2.8,historical
1953-09-01,2.9,historical
1953-10-01,2.0,historical
1953-11-01,2.4,historical
1953-12-01,1.3,historical
1954-01-01,1.6,historical
1954-02-01,1.2,historical
1954-03-01,1.3,historical
1954-04-01,0.8,historical
1954-05-01,0.8,historical
1954-06-01,0.9,historical
1954-07-01,2.6,historical
1954-08-01,2.6,historical
1954-09-01,2.5,historical
1954-10-01,3.0,historical
1954-11-01,3.1,historical
1954-12-01,4.1,historical
1955-01-01,4.3,historical
1955-02-01,4.4,historical
1955-03-01,3.5,historical
1955-04-01,3.6,historical
1955-05-01,3.7,historical
1955-06-01,5.1,historical
1955-07-01,3.7,historical
1955-08-01,3.8,historical
1955-09-01,4.7,historical
1955-10-01,5.3,historical
1955-11-01,6.3,historical
1955-12-01,5.7,historical
1956-01-01,5.1,historical
1956-02-01,5.0,historical
1956-03-01,6.5,historical
1956-04-01,7.5,historical
1956-05-01,7.4,historical
1956-06-01,5.2,historical
1956-07-01,4.3,historical
1956-08-01,5.2,historical
1956-09-01,4.3,historical
1956-10-01,3.9,historical
1956-11-01,2.8,historical
1956-12-01,3.0,historical
1957-01-01,4.2,historical
1957-02-01,4.1,historical
1957-03-01,2.4,historical
1957-04-01,1.3,historical
1957-05-01,1.8,historical
1957-06-01,3.1,historical
1957-07-01,4.5,historical
1957-08-01,3.9,historical
1957-09-01,3.8,historical
1957-10-01,3.8,historical
1957-11-01,4.0,historical
1957-12-01,4.3,historical
1958-01-01,3.3,historical
1958-02-01,2.9,historical
1958-03-01,4.0,historical
1958-04-01,4.8,historical
1958-05-01,4.2,historical
1958-06-01,4.0,historical
1958-07-01,1.4,historical
1958-08-01,1.4,historical
1958-09-01,1.9,historical
1958-10-01,2.2,historical
1958-11-01,2.1,historical
1958-12-01,1.9,historical
1959-01-01,2.3,historical
1959-02-01,2.6,historical
1959-03-01,1.9,historical
1959-04-01,0.0,historical
1959-05-01,-0.1,historical
1959-06-01,-0.8,historical
1959-07-01,0.5,historical
1959-08-01,1.1,historical
1959-09-01,0.3,historical
1959-10-01,-0.1,historical
1959-11-01,0.2,historical
1959-12-01,0.1,historical
1960-01-01,-0.4,historical
1960-02-01,-0.3,historical
1960-03-01,-0.4,historical
1960-04-01,0.7,historical
1960-05-01,1.1,historical
1960-06-01,1.6,historical
1960-07-01,1.9,historical
1960-08-01,0.9,historical
1960-09-01,1.5,historical
1960-10-01,1.8,historical
1960-11-01,1.6,historical
1960-12-01,1.7,historical
1961-01-01,2.0,historical
1961-02-01,2.0,historical
1961-03-01,2.4,historical
1961-04-01,2.4,historical
1961-05-01,2.7,historical
1961-06-01,3.0,historical
1961-07-01,3.0,historical
1961-08-01,4.7,historical
1961-09-01,4.3,historical
1961-10-01,3.6,historical
1961-11-01,4.1,historical
1961-12-01,4.1,historical
1962-01-01,4.3,historical
1962-02-01,4.3,historical
1962-03-01,4.6,historical
1962-04-01,5.5,historical
1962-05-01,5.6,historical
1962-06-01,5.4,historical
1962-07-01,4.8,historical
1962-08-01,3.0,historical
1962-09-01,3.1,historical
1962-10-01,2.9,historical
1962-11-01,2.3,historical
1962-12-01,2.6,historical
1963-01-01,2.9,historical
1963-02-01,3.9,historical
1963-03-01,3.5,historical
1963-04-01,2.3,historical
1963-05-01,1.7,historical
1963-06-01,1.0,historical
1963-07-01,0.9,historical
1963-08-01,1.4,historical
1963-09-01,1.9,historical
1963-10-01,2.4,historical
1963-11-01,2.3,historical
1963-12-01,2.0,historical
1964-01-01,1.8,historical
1964-02-01,0.9,historical
1964-03-01,1.1,historical
1964-04-01,1.7,historical
1964-05-01,2.7,historical
1964-06-01,3.3,historical
1964-07-01,4.0,historical
1964-08-01,4.8,historical
1964-09-01,4.4,historical
1964-10-01,4.0,historical
1964-11-01,4.4,historical
1964-12-01,4.7,historical
1965-01-01,4.6,historical
1965-02-01,4.5,historical
1965-03-01,4.5,historical
